city_id,city,state,country,continent,population,area_km2,population_density,internet_pct,electricity_access_pct,unemployment_pct,literacy_pct,median_age,annual_rainfall_mm,avg_temperature_c,air_quality_index,hospitals,schools,crime_rate,green_space_pct,public_transport_pct,tourism_index,cost_of_living_index,avg_income_usd,city_score,developed,population_density_check
80,Asyut,Asyut Governorate,Egypt,Africa,1729692,80.69,21435.43,99.53,94.46,2.84,95.72,40.3,322.96,12.7,99.5,73,253,55.88,49.13,29.54,76.73,46.39,32398.78,66.47,1,21436.262238195563
317,Tabuk,Tabuk Province,Saudi Arabia,Asia,804525,117.51,6846.29,74.96,97.64,5.35,67.38,33.0,58.07,18.7,78.8,106,243,48.63,36.83,5.0,5.83,57.72,20173.67,48.52,0,6846.43860097013
486,Johor Bahru,Johor,Malaysia,Asia,2262501,92.72,24401.23,65.86,88.1,6.04,77.53,40.5,98.31,7.0,85.6,105,230,20.32,36.48,38.63,100.0,45.75,26500.75,65.06,1,24401.43442622951
397,Namur,Wallonia,Belgium,Europe,611691,235.13,2601.52,87.04,75.49,4.73,91.79,28.6,90.37,13.2,56.0,92,237,35.35,52.05,51.04,95.48,75.4,47391.13,72.61,1,2601.5012971547653
168,Strasbourg,Grand Est,France,Europe,1947519,161.57,12053.57,100.0,91.02,1.0,79.29,30.3,107.4,36.6,53.3,93,242,25.55,33.49,74.67,49.33,36.2,16295.54,72.01,1,12053.716655319677
494,Tampines,Singapore,Singapore,Asia,4478540,173.12,25870.07,61.92,100.0,3.45,100.0,35.4,137.66,8.1,76.1,87,233,57.63,29.55,83.54,54.92,27.57,13154.48,64.89,1,25869.570240295747
64,Cebu City,Central Visayas,Philippines,Asia,559313,197.6,2830.59,94.98,79.53,8.02,,35.0,338.37,23.5,48.3,103,259,45.01,60.23,51.21,70.9,49.53,43361.07,72.94,1,2830.5313765182186
186,Genoa,Liguria,Italy,Europe,744819,510.69,1458.47,57.35,97.4,6.57,83.41,25.8,121.29,14.6,82.9,103,260,36.65,15.2,5.0,52.51,66.38,42191.0,51.93,0,1458.4562063091112
85,Sylhet,Sylhet Division,Bangladesh,Asia,2456864,33.25,73882.85,79.66,89.81,10.59,86.6,31.2,55.93,24.6,62.6,101,235,34.6,52.55,66.57,62.62,66.18,14078.79,69.87,1,73890.64661654136
125,Port Harcourt,Rivers State,Nigeria,Africa,1926347,253.44,7600.92,75.24,92.92,6.39,76.48,35.5,199.03,18.7,35.2,93,260,49.39,58.85,37.43,61.28,85.16,,66.54,1,7600.800978535353
74,Shubra El Kheima,Qalyubia Governorate,Egypt,Africa,489091,180.76,2705.77,54.11,90.87,5.45,83.83,38.6,40.89,18.3,68.3,87,256,55.28,18.38,15.79,8.44,26.53,19804.93,45.9,0,2705.7479530869664
285,Antofagasta,Antofagasta,Chile,South America,1216447,36.22,33586.37,78.91,97.88,8.33,85.85,29.6,104.58,27.6,98.4,83,266,62.63,34.56,42.58,65.1,56.87,20596.58,60.11,0,33584.95306460519
132,Ankara,Ankara,Turkey,Europe,15391530,27.75,554606.46,74.05,82.69,15.85,72.14,30.0,90.23,14.1,94.2,91,239,28.76,32.77,51.48,61.6,43.55,12170.3,59.56,0,554649.7297297297
69,Cagayan de Oro,Northern Mindanao,Philippines,Asia,2081143,259.3,8026.08,99.68,98.3,8.62,63.9,46.5,47.95,19.8,97.5,89,254,61.81,40.12,52.79,42.14,56.78,56853.77,60.25,0,8026.004627844196
71,Cairo,Cairo Governorate,Egypt,Africa,282624,30.7,9205.52,75.05,91.25,5.13,100.0,39.2,45.77,20.3,116.2,77,260,37.88,38.16,30.01,96.94,116.29,15629.93,65.43,1,9205.99348534202
473,Christchurch,Canterbury,New Zealand,Oceania,1503222,82.73,18169.24,77.8,92.05,7.81,81.69,40.6,21.01,21.4,117.4,87,285,17.66,20.06,37.02,85.76,29.8,28049.41,63.45,1,18170.216366493412
248,Phuket City,Phuket,Thailand,Asia,2015338,690.15,2920.13,50.88,94.14,3.52,77.3,25.9,210.75,17.7,121.9,80,230,56.24,18.7,57.22,24.47,25.55,21090.81,48.85,0,2920.1448960370935
31,São Paulo,São Paulo,Brazil,South America,837544,936.03,894.78,95.81,96.55,11.73,93.48,33.4,180.85,20.3,79.0,84,242,70.25,42.61,64.35,58.99,58.21,32758.04,67.67,1,894.7832868604639
10,Surat,Gujarat,India,Asia,1914716,46.85,40868.86,83.68,92.32,9.0,78.93,38.4,120.93,24.2,27.2,74,244,59.26,30.53,85.95,100.0,73.49,37974.69,76.1,1,40869.07150480256
56,León,Guanajuato,Mexico,North America,884622,58.04,15241.75,100.0,84.72,N/A,78.2,27.2,72.08,14.2,123.3,93,272,45.07,10.59,43.51,56.87,41.55,27451.69,59.26,0,15241.59200551344
322,Abu Dhabi,Abu Dhabi,UAE,Asia,5064555,90.86,55738.58,69.59,98.69,11.53,84.99,32.1,94.15,23.1,17.4,94,224,37.11,2.96,31.37,71.06,89.6,60525.15,65.38,1,55740.204710543694
407,Setúbal,Setúbal District,Portugal,Europe,959884,97.75,9819.35,81.84,91.32,7.66,93.43,38.3,145.61,20.3,85.2,104,237,61.77,34.4,79.4,58.29,40.64,14793.31,65.49,1,9819.78516624041
476,Dunedin,Otago,New Zealand,Oceania,424391,78.32,5419.01,75.56,98.7,6.65,85.18,37.7,121.43,25.9,101.6,91,236,44.78,40.0,64.51,34.05,82.66,9459.41,60.32,0,5418.6797752809
401,Lisbon,Lisbon District,Portugal,Europe,1775675,91.87,19327.86,95.74,85.45,4.72,76.4,36.4,290.31,27.8,126.1,87,270,22.72,32.09,59.42,1.0,75.68,64686.54,57.42,0,19328.12670077283
173,Manchester,England,United Kingdom,Europe,588966,69.76,8443.12,76.25,92.35,5.3,77.36,39.9,143.09,13.5,,102,257,26.29,31.87,44.38,54.78,80.58,31942.76,59.87,0,8442.746559633028
377,Lucerne,Lucerne,Switzerland,Europe,1187879,89.55,13264.43,,,8.52,68.78,37.8,101.38,10.6,63.2,95,248,34.85,52.45,37.09,97.12,53.34,13455.77,71.06,1,13264.98045784478
