Tour_ID,City,Country,Region,Travel_Type,Tour_Type,Duration_Days,Season,Month,Tour_Price_INR,Travelers,Rating,Bookings,Hotel_Cost,Flight_Cost,Food_Cost,Activities_Cost,Local_Transport_Cost
1,New York,USA,North America,International,Budget,6,Summer,4,61500,1,3.3,131,16194,19132,8833,8551,8790
2,Colombo,Sri Lanka,Asia,International,Budget,10,Summer,12,73500,1,4.5,101,23581,17130,10814,11829,10146
3,Kerala,India,South India,Domestic,Premium,6,Summer,4,31000,5,3.6,42,9106,6631,3339,5107,6817
4,Ooty,India,South India,Domestic,Budget,8,Winter,9,13000,1,3.3,136,4312,4326,1676,1289,1397
5,Jaipur,India,North India,Domestic,Budget,5,Winter,7,8000,3,4.4,369,2661,2037,1036,807,1459
6,Bangkok,Thailand,Asia,International,Standard,10,Summer,3,110500,3,4.6,417,31502,37438,17133,11266,13161
7,Singapore,Singapore,Asia,International,Standard,2,Monsoon,7,24500,6,4,472,6796,8365,4167,2730,2442
8,Ooty,India,South India,Domestic,Standard,6,Summer,4,18000,3,3.6,90,5761,5616,2416,2490,1717
9,Andaman,India,East India,Domestic,Luxury,3,Winter,2,27000,5,4.9,290,7311,8155,3988,3198,4348
10,Mumbai,India,West India,Domestic,Budget,12,Winter,11,23000,2,4,389,7995,7251,2925,2515,2314
11,Mumbai,India,West India,Domestic,Standard,10,Winter,11,29000,5,4.8,492,9658,8449,3254,4531,3108
12,Pune,India,West India,Domestic,Budget,11,Monsoon,8,14000,1,3.6,310,5190,4645,2331,1550,500
13,Bali,Indonesia,Asia,International,Budget,9,Winter,9,81000,5,3.9,128,21601,21974,11662,8626,17137
14,Maldives,Maldives,Asia,International,Premium,8,Monsoon,8,213000,5,3.6,132,65751,50520,22391,17488,56850
15,Paris,France,Europe,International,Budget,12,Winter,4,118000,4,3.6,87,29981,29448,16653,12726,29192
16,Darjeeling,India,East India,Domestic,Standard,9,Autumn,4,23500,1,4.3,350,7888,5948,3122,3910,2632
17,Tokyo,Japan,Asia,International,Budget,8,Monsoon,2,69000,2,4.7,58,18956,18443,9228,7441,14932
18,Mysore,India,South India,Domestic,Budget,2,Winter,2,3500,4,4.7,104,1261,787,485,354,613
19,Rishikesh,India,North India,Domestic,Budget,8,Monsoon,8,11000,4,3.5,171,3746,3405,1789,1608,500
20,Kathmandu,Nepal,Asia,International,Budget,11,Winter,12,80000,1,4.8,61,20521,21721,13884,10649,13225
21,Sydney,Australia,Oceania,International,Budget,11,Winter,11,138500,1,4.3,234,41894,47261,20162,19098,10085
22,Pune,India,West India,Domestic,Premium,6,Summer,11,29500,3,4.8,499,8290,7651,4535,3244,5780
23,Bangkok,Thailand,Asia,International,Budget,9,Winter,2,69500,2,3.8,100,21945,15280,8890,6038,17347
24,Mysore,India,South India,Domestic,Premium,11,Winter,11,60000,1,4.7,400,17335,17970,10506,5605,8584
25,Barcelona,Spain,Europe,International,Premium,6,Summer,12,99000,1,3.4,236,33598,32465,13902,10406,8629
26,Delhi,India,North India,Domestic,Budget,2,Monsoon,3,3000,1,3.4,472,852,933,432,368,500
27,Barcelona,Spain,Europe,International,Budget,7,Summer,7,44500,3,3.6,147,12908,14900,7284,7390,2018
28,Tokyo,Japan,Asia,International,Premium,10,Autumn,10,280000,2,4.7,32,103697,65942,31640,44796,33925
29,Sydney,Australia,Oceania,International,Premium,8,Summer,5,188000,2,4.6,255,64139,48387,19382,23888,32204
30,Leh,India,North India,Domestic,Premium,5,Summer,1,27500,3,4.3,224,8299,6649,2902,4326,5324
31,Shimla,India,North India,Domestic,Budget,3,Monsoon,3,4000,3,3.9,281,1511,822,590,458,619
32,New York,USA,North America,International,Luxury,11,Summer,5,439500,6,4.5,120,134789,122175,72306,65347,44883
33,Srinagar,India,North India,Domestic,Luxury,3,Monsoon,10,19500,4,3.8,376,7024,6005,2418,2163,1890
34,Jaipur,India,North India,Domestic,Standard,5,Autumn,11,16500,5,4.6,175,5577,5534,2462,1816,1111
35,Jaipur,India,North India,Domestic,Standard,8,Monsoon,8,20000,6,3.5,63,6756,5533,3269,3519,923
36,Jaipur,India,North India,Domestic,Premium,3,Summer,11,13000,5,4.6,57,4613,2887,1348,2319,1833
37,Ooty,India,South India,Domestic,Luxury,12,Summer,12,97000,1,4.5,132,30484,22949,14791,7813,20963
38,Sydney,Australia,Oceania,International,Luxury,2,Summer,2,84000,4,4.2,388,29751,25211,15038,11721,2279
39,Andaman,India,East India,Domestic,Luxury,10,Autumn,3,103000,5,4,142,32105,24604,12337,14807,19147
40,Delhi,India,North India,Domestic,Luxury,3,Monsoon,4,19500,6,3.5,129,5685,5479,2165,2010,4161
41,Bangkok,Thailand,Asia,International,Luxury,8,Monsoon,9,202500,6,3.2,470,52264,65799,26559,31788,26090
