Date,Country,Daily_Cases,Daily_Recovered,Daily_Deaths,Cumulative_Cases,Cumulative_Recovered,Cumulative_Deaths
2021-01-01,India,329,258,7,329,258,7
2021-01-02,USA,533,471,11,1066,942,22
2021-01-03,Brazil,520,377,14,1560,1131,42
2021-01-04,UK,233,176,2,932,704,8
2021-01-05,Italy,284,247,8,1420,1235,40
2021-01-06,Germany,339,282,10,2034,1692,60
2021-01-07,India,382,277,12,2674,1939,84
2021-01-08,USA,597,550,16,4776,4400,128
2021-01-09,Brazil,293,237,8,2637,2133,72
2021-01-10,UK,252,218,5,2520,2180,50
2021-01-11,Italy,260,193,4,2860,2123,44
2021-01-12,Germany,227,195,5,2724,2340,60
2021-01-13,India,471,340,11,6123,4420,143
2021-01-14,USA,494,390,5,6916,5460,70
2021-01-15,Brazil,488,395,4,7320,5925,60
2021-01-16,UK,305,222,7,4880,3552,112
2021-01-17,Italy,153,134,1,2601,2278,17
2021-01-18,Germany,244,221,4,4392,3978,72
2021-01-19,India,408,347,12,7752,6593,228
2021-01-20,USA,524,414,6,10480,8280,120
2021-01-21,Brazil,414,306,12,8694,6426,252
2021-01-22,UK,171,147,4,3762,3234,88
2021-01-23,Italy,182,170,3,4186,3910,69
2021-01-24,Germany,308,231,3,7392,5544,72
2021-01-25,India,555,509,12,13875,12725,300
2021-01-26,USA,637,458,14,16562,11908,364
2021-01-27,Brazil,303,223,4,8181,6021,108
2021-01-28,UK,242,209,3,6776,5852,84
2021-01-29,Italy,363,295,5,10527,8555,145
2021-01-30,Germany,310,231,7,9300,6930,210
2021-01-31,India,401,366,11,12431,11346,341
2021-02-01,USA,432,344,11,13824,11008,352
2021-02-02,Brazil,424,317,10,13992,10461,330
2021-02-03,UK,352,276,3,11968,9384,102
2021-02-04,Italy,142,112,1,4970,3920,35
2021-02-05,Germany,295,249,6,10620,8964,216
2021-02-06,India,566,425,10,20942,15725,370
2021-02-07,USA,537,426,11,20406,16188,418
2021-02-08,Brazil,395,293,6,15405,11427,234
2021-02-09,UK,321,267,7,12840,10680,280
2021-02-10,Italy,349,316,5,14309,12956,205
2021-02-11,Germany,435,388,11,18270,16296,462
2021-02-12,India,392,344,12,16856,14792,516
2021-02-13,USA,543,458,8,23892,20152,352
2021-02-14,Brazil,493,358,11,22185,16110,495
2021-02-15,UK,164,119,2,7544,5474,92
2021-02-16,Italy,211,154,4,9917,7238,188
2021-02-17,Germany,232,185,3,11136,8880,144
2021-02-18,India,516,405,17,25284,19845,833
2021-02-19,USA,536,441,12,26800,22050,600
2021-02-20,Brazil,473,425,12,24123,21675,612
2021-02-21,UK,394,287,5,20488,14924,260
2021-02-22,Italy,341,297,11,18073,15741,583
2021-02-23,Germany,242,223,7,13068,12042,378
2021-02-24,India,567,435,6,31185,23925,330
2021-02-25,USA,540,504,12,30240,28224,672
2021-02-26,Brazil,324,245,2,18468,13965,114
2021-02-27,UK,178,151,4,10324,8758,232
2021-02-28,Italy,336,269,9,19824,15871,531
2021-03-01,Germany,244,181,4,14640,10860,240
