Date,Product,Region,Units_Sold,Unit_Price,Sales,Cost,Profit
2025-01-01,Headphones,North,19,2615,49685,37351,12334
2025-01-02,Mobile,East,27,22790,615330,490571,124759
2025-01-03,Headphones,West,28,2575,72100,47556,24544
2025-01-04,Headphones,South,42,2250,94500,77364,17136
2025-01-05,Laptop,West,26,49577,1289002,842904,446098
2025-01-06,Tablet,East,46,16367,752882,614004,138878
2025-01-07,Mouse,South,48,802,38496,28899,9597
2025-01-08,Tablet,North,11,16813,184943,122258,62685
2025-01-09,Headphones,North,18,2654,47772,33525,14247
2025-01-10,Keyboard,South,24,1422,34128,26147,7981
2025-01-11,Headphones,North,12,2267,27204,21887,5317
2025-01-12,Headphones,South,44,2627,115588,83486,32102
2025-01-13,Mouse,South,8,749,5992,4882,1110
2025-01-14,Mobile,West,38,24475,930050,751045,179005
2025-01-15,Mouse,East,44,855,37620,29232,8388
2025-01-16,Keyboard,West,30,1639,49170,37034,12136
2025-01-17,Keyboard,North,33,1590,52470,34770,17700
2025-01-18,Laptop,West,5,51685,258425,168218,90207
2025-01-19,Tablet,East,21,18760,393960,308994,84966
2025-01-20,Tablet,North,46,17490,804540,538798,265742
2025-01-21,Laptop,West,16,53139,850224,561832,288392
2025-01-22,Mouse,West,41,836,34276,25994,8282
2025-01-23,Tablet,East,5,17578,87890,71647,16243
2025-01-24,Tablet,North,9,18220,163980,128078,35902
2025-01-25,Tablet,North,19,17739,337041,220533,116508
2025-01-26,Keyboard,East,36,1540,55440,38998,16442
2025-01-27,Headphones,South,41,2374,97334,70057,27277
2025-01-28,Tablet,North,40,19594,783760,589236,194524
2025-01-29,Tablet,South,32,19546,625472,492484,132988
2025-01-30,Laptop,North,10,54521,545210,374632,170578
2025-01-31,Headphones,South,15,2412,36180,24267,11913
2025-02-01,Laptop,East,37,52493,1942241,1476311,465930
2025-02-02,Laptop,West,17,58968,1002456,652781,349675
2025-02-03,Tablet,North,41,18692,766372,533241,233131
2025-02-04,Tablet,South,36,18067,650412,500500,149912
2025-02-05,Laptop,South,16,52269,836304,614292,222012
2025-02-06,Laptop,North,21,52434,1101114,898536,202578
2025-02-07,Headphones,South,27,2389,64503,51886,12617
2025-02-08,Tablet,South,6,18111,108666,78904,29762
2025-02-09,Mouse,West,8,732,5856,4174,1682
2025-02-10,Laptop,East,42,53545,2248890,1703516,545374
2025-02-11,Mouse,South,15,850,12750,10017,2733
2025-02-12,Laptop,West,10,57153,571530,454892,116638
2025-02-13,Headphones,East,40,2258,90320,66570,23750
2025-02-14,Tablet,West,36,16546,595656,482415,113241
2025-02-15,Mobile,West,5,25878,129390,100275,29115
2025-02-16,Mobile,East,35,26886,941010,652919,288091
2025-02-17,Headphones,West,30,2741,82230,60671,21559
2025-02-18,Laptop,South,5,50524,252620,202734,49886
2025-02-19,Keyboard,West,13,1433,18629,14326,4303
2025-02-20,Tablet,West,28,17656,494368,395949,98419
2025-02-21,Headphones,East,12,2642,31704,24213,7491
2025-02-22,Mouse,East,29,826,23954,15590,8364
2025-02-23,Mouse,South,6,830,4980,3788,1192
2025-02-24,Laptop,West,37,49698,1838826,1349628,489198
2025-02-25,Headphones,West,12,2674,32088,24444,7644
2025-02-26,Laptop,West,16,55096,881536,668359,213177
2025-02-27,Mouse,South,34,875,29750,21325,8425
2025-02-28,Mouse,West,31,789,24459,17353,7106
2025-03-01,Laptop,West,37,51647,1910939,1476805,434134
