Date,Temperature_C,Rainfall_mm,Humidity_%,Wind_Speed_kmh
2025-01-01,19.9,9.9,84.3,13.2
2025-01-02,18.7,10.8,80.4,7.5
2025-01-03,20.6,10.3,71.5,5.3
2025-01-04,22.8,3.4,72.5,10.0
2025-01-05,19.1,33.6,63.0,9.3
2025-01-06,19.4,12.1,85.5,12.5
2025-01-07,23.6,2.3,81.8,12.7
2025-01-08,,15.7,74.9,10.3
2025-01-09,19.6,18.1,77.5,7.3
2025-01-10,22.1,11.5,61.1,10.9
2025-01-11,20.1,6.0,73.0,10.5
2025-01-12,20.4,3.2,85.9,11.7
2025-01-13,22.2,7.1,83.6,7.4
2025-01-14,17.8,10.7,79.1,8.8
2025-01-15,18.5,7.8,76.8,11.5
2025-01-16,21.3,25.7,82.5,13.7
2025-01-17,20.6,13.8,75.0,12.9
2025-01-18,23.8,2.8,65.3,10.2
2025-01-19,21.4,,77.0,8.5
2025-01-20,20.6,12.2,79.8,11.2
2025-01-21,27.2,6.1,84.8,6.7
2025-01-22,23.8,14.8,66.8,7.5
2025-01-23,24.7,12.1,75.9,14.5
2025-01-24,21.7,7.2,76.2,11.2
2025-01-25,24.0,2.8,68.8,9.0
2025-01-26,25.7,0.9,79.8,12.5
2025-01-27,23.2,9.5,81.5,13.9
2025-01-28,26.8,1.5,74.0,8.7
2025-01-29,25.0,2.7,90.2,8.7
2025-01-30,25.9,9.0,,8.3
2025-01-31,25.5,8.2,72.3,12.9
2025-02-01,31.2,1.8,71.8,12.9
2025-02-02,27.3,19.8,69.1,14.2
2025-02-03,25.3,19.3,70.6,13.0
2025-02-04,29.7,12.5,64.2,5.1
2025-02-05,25.4,12.5,72.6,10.8
2025-02-06,28.8,12.5,74.0,6.8
2025-02-07,24.3,17.9,57.2,8.5
2025-02-08,25.9,14.1,72.1,10.5
2025-02-09,29.4,3.1,72.7,12.5
2025-02-10,30.8,6.0,75.7,7.3
2025-02-11,29.8,44.0,80.1,3.0
2025-02-12,29.3,0.4,77.2,10.5
2025-02-13,29.1,4.6,66.4,17.9
2025-02-14,,19.8,65.2,9.4
2025-02-15,28.5,3.4,73.9,10.1
2025-02-16,29.2,14.4,65.6,15.3
2025-02-17,32.7,8.1,60.4,11.8
2025-02-18,31.2,3.7,85.1,10.7
2025-02-19,26.7,9.3,65.8,11.3
2025-02-20,31.4,3.0,63.1,10.8
2025-02-21,29.9,6.9,51.7,6.6
2025-02-22,29.3,12.4,72.5,6.0
2025-02-23,32.2,16.7,59.1,15.7
2025-02-24,33.2,4.6,65.7,10.6
2025-02-25,33.0,3.6,71.8,10.3
2025-02-26,29.1,1.5,57.7,9.7
2025-02-27,30.3,17.4,64.6,
2025-02-28,31.7,39.3,74.2,17.6
2025-03-01,33.1,19.0,45.8,11.6
2025-03-02,29.9,22.6,56.8,8.2
2025-03-03,30.5,3.4,55.7,9.6
2025-03-04,28.4,11.8,60.2,13.2
2025-03-05,28.2,15.6,60.7,8.3
2025-03-06,32.5,2.2,53.2,12.6
2025-03-07,33.6,0.3,55.5,3.0
2025-03-08,30.4,1.4,54.3,9.3
2025-03-09,32.7,6.8,56.8,11.9
